"<p>Shop System Plugins - Terms of use</p><p style=\"text-align: justify\">This terms of use regulates warranty and liability between Wirecard Central Eastern Europe (subsequently referred to as WDCEE) and it's contractual partners (subsequently referred to as customer or customers) which are related to the use of plugins provided by WDCEE.</p><p style=\"text-align: justify\">The Plugin is provided by WDCEE free of charge for it's customers and must be used for the purpose of WDCEE's payment platform integration only. It explicitly is not part of the general contract between WDCEE and it's customer. The plugin has successfully been tested under specific circumstances which are defined as the shopsystem's standard configuration (vendor's delivery state). The Customer is responsible for testing the plugin's functionality before putting it into production enviroment.</p><p style=\"text-align: justify\">The customer uses the plugin at own risk. WDCEE does not guarantee it's full functionality neither does WDCEE assume liability for any disadvantage related to the use of this plugin. By installing the plugin into the shopsystem the customer agrees to the terms of use. Please do not use this plugin if you do not agree to the terms of use!</p>","<p>Shop System Plugins - Terms of use</p><p style=\"text-align: justify\">This terms of use regulates warranty and liability between Wirecard Central Eastern Europe (subsequently referred to as WDCEE) and it's contractual partners (subsequently referred to as customer or customers) which are related to the use of plugins provided by WDCEE.</p><p style=\"text-align: justify\">The Plugin is provided by WDCEE free of charge for it's customers and must be used for the purpose of WDCEE's payment platform integration only. It explicitly is not part of the general contract between WDCEE and it's customer. The plugin has successfully been tested under specific circumstances which are defined as the shopsystem's standard configuration (vendor's delivery state). The Customer is responsible for testing the plugin's functionality before putting it into production enviroment.</p><p style=\"text-align: justify\">The customer uses the plugin at own risk. WDCEE does not guarantee it's full functionality neither does WDCEE assume liability for any disadvantage related to the use of this plugin. By installing the plugin into the shopsystem the customer agrees to the terms of use. Please do not use this plugin if you do not agree to the terms of use!</p>"
"Seamless","Seamless"
"The Payment Method will be integrated Seamless into the Payment Checkout Step.","The Payment Method will be integrated Seamless into the Payment Checkout Step."
"Data Storage Version","Data Storage Version"
"The Version of the Seamless Data Storage Library.","The Version of the Seamless Data Storage Library."
"Payment Data","Payment Data"
"The User Data which will be asked for Seamless Payment.","The User Data which will be asked for Seamless Payment."
"Full Bank-Data","Full Bank-Data"
"Bic / Iban","BIC / IBAN"
"Cardholder Name","Cardholder Name"
"Pan","Pan"
"Pan (for your protection only the last 4 numbers are saved)","Pan (for your protection only the last 4 digits are saved)"
"Expiration date","Expiration date"
"Expiration Month","Expiration Month"
"Expiration Year","Expiration Year"
"Card Verify Code","Card Verify Code"
"Issue Date","Issue Date"
"Issue Month","Issue Month"
"Issue Year","Issue Year"
"Account Owner","Account Owner"
"Bank Account","Bank Account"
"Bank Number","Bank Number"
"Payer Paybox Number","Payer Paybox Number"
"Bank Name","Bank Name"
"Bank Country","Bank Country"
"Bank Bic","Bank BIC"
"Bank Account Iban","Bank Account IBAN"
"Bank","Bank"
"Choose your bank...","Choose your bank..."
"Germany","Germany"
"Austria","Austria"
"Nederlands","Nederlands"
"You have to be 18 years or older to use invoice payment.","You have to be 18 years or older to use invoice payment."
"You have to be 18 years or older to use installment payment.","You have to be 18 years or older to use installment payment."

"An error during the payment process occurred.","An error during the payment process occurred."
"The given bank is not participating.","The given bank is not participating."
"Unknown error ID.","The Paymentmethod is currently not available. Please use another or try again later."
"This payment mode is not supported (yet).","This payment mode is not supported (yet)."
"Invalid merchant configuration.","The Paymentmethod is currently not available. Please use another or try again later."
"Regrettably, this transaction cannot be processed at the moment because of a crypto error. Please try again later.","The Paymentmethod is currently not available. Please use another or try again later."
"The usage of real payment information (e.g. credit card number) is not allowed in demo mode.","The usage of real payment information (e.g. credit card number) is not allowed in demo mode."
"Change payment information","Change payment information"
"Card Issue Number","Card Issue Number"
"Payment processing","Payment processing"
"Company Trade Registration Number","Company Trade Registration Number"
